xb@giga:[~/cs527-explore/mpx/llcbench/cachebench]:  sleep 30 ; ./cachebench -rwbsp -x1 -m24 -d5 -e10

                Memory Set Library Cache Test

C Size          Nanosec         MB/sec          % Chnge
32768           0.01            97615.60        1.00           
32768           0.01            97641.86        1.00           
32768           0.01            97482.73        1.00           
32768           0.01            97625.70        1.00           
49152           0.01            98311.38        0.99           
49152           0.01            98446.28        1.00           
49152           0.01            98360.90        1.00           
49152           0.01            98477.20        1.00           
49152           0.01            98441.98        1.00           
49152           0.01            98490.05        1.00           
49152           0.01            98453.14        1.00           
49152           0.01            98461.01        1.00           
49152           0.01            98405.41        1.00           
49152           0.01            98357.25        1.00           
65536           0.01            98546.39        1.00           
65536           0.01            98549.31        1.00           
65536           0.01            98517.63        1.00           
65536           0.01            98440.82        1.00           
65536           0.01            98521.97        1.00           
65536           0.01            98361.96        1.00           
65536           0.01            98500.99        1.00           
65536           0.01            98485.06        1.00           
65536           0.01            98452.73        1.00           
65536           0.01            98408.32        1.00           
98304           0.01            96716.87        1.02           
98304           0.01            96709.14        1.00           
98304           0.01            96708.61        1.00           
98304           0.01            96752.29        1.00           
98304           0.01            96799.69        1.00           
98304           0.01            96789.94        1.00           
98304           0.01            96775.14        1.00           
98304           0.01            96690.33        1.00           
98304           0.01            96753.64        1.00           
98304           0.01            96733.15        1.00           
131072          0.01            94891.05        1.02           
131072          0.01            94938.59        1.00           
131072          0.01            95011.39        1.00           
131072          0.01            95019.13        1.00           
131072          0.01            95004.47        1.00           
131072          0.01            95002.30        1.00           
131072          0.01            94942.25        1.00           
131072          0.01            94984.33        1.00           
131072          0.01            94987.02        1.00           
131072          0.01            94990.42        1.00           
196608          0.01            83400.96        1.14           
196608          0.01            83351.46        1.00           
196608          0.01            83404.68        1.00           
196608          0.01            83401.13        1.00           
196608          0.01            83364.35        1.00           
196608          0.01            83350.46        1.00           
196608          0.01            83428.93        1.00           
196608          0.01            83335.14        1.00           
196608          0.01            83346.84        1.00           
196608          0.01            83354.77        1.00           
262144          0.01            77038.92        1.08           
262144          0.01            77050.29        1.00           
262144          0.01            77029.32        1.00           
262144          0.01            77048.91        1.00           
262144          0.01            77070.61        1.00           
262144          0.01            77080.54        1.00           
262144          0.01            77053.74        1.00           
262144          0.01            77020.32        1.00           
262144          0.01            77052.83        1.00           
262144          0.01            77059.47        1.00           
393216          0.01            70720.13        1.09           
393216          0.01            70738.26        1.00           
393216          0.01            70722.93        1.00           
